repayment_id,customer_id,loan_id,installment_no,due_date,paid_date,scheduled_amount,paid_amount,days_past_due,is_late_payment,is_default_event
1,1,L00001_1,1,2022-03-16,2022-03-19,527,527,3,0,0
2,1,L00001_1,2,2022-04-15,2022-04-26,413,413,11,0,0
3,1,L00001_1,3,2022-05-15,2022-05-21,804,804,6,0,0
4,1,L00001_1,4,2022-06-14,2022-06-26,501,501,12,0,0
5,1,L00001_1,5,2022-07-14,2022-07-14,500,500,0,0,0
6,1,L00001_1,6,2022-08-13,2022-08-13,764,764,0,0,0
7,1,L00001_1,7,2022-09-12,2022-09-17,416,416,5,0,0
8,1,L00001_1,8,2022-10-12,2022-10-26,119,119,14,0,0
9,1,L00001_1,9,2022-11-11,2022-11-11,458,458,0,0,0
10,1,L00001_1,10,2022-12-11,2022-12-11,483,483,0,0,0
11,1,L00001_1,11,2023-01-10,2023-01-10,287,287,0,0,0
12,1,L00001_1,12,2023-02-09,2023-02-09,570,570,0,0,0
13,2,L00002_1,1,2021-10-05,2021-10-16,745,745,11,0,0
14,2,L00002_1,2,2021-11-04,2021-11-12,598,598,8,0,0
15,2,L00002_1,3,2021-12-04,2021-12-04,126,126,0,0,0
16,2,L00002_1,4,2022-01-03,2022-01-16,159,159,13,0,0
17,2,L00002_1,5,2022-02-02,2022-02-12,681,681,10,0,0
18,2,L00002_1,6,2022-03-04,2022-03-17,260,260,13,0,0
19,2,L00002_1,7,2022-04-03,2022-04-11,494,494,8,0,0
20,2,L00002_1,8,2022-05-03,2022-05-11,484,484,8,0,0
21,2,L00002_1,9,2022-06-02,2022-06-03,235,235,1,0,0
22,2,L00002_1,10,2022-07-02,2022-07-02,859,859,0,0,0
23,2,L00002_1,11,2022-08-01,2022-08-01,367,367,0,0,0
24,2,L00002_1,12,2022-08-31,2022-08-31,703,703,0,0,0
25,2,L00002_1,13,2022-09-30,2022-09-30,404,404,0,0,0
26,2,L00002_1,14,2022-10-30,2022-10-30,803,803,0,0,0
27,2,L00002_1,15,2022-11-29,2022-12-26,377,377,27,1,0
28,2,L00002_1,16,2022-12-29,2022-12-29,611,611,0,0,0
29,2,L00002_1,17,2023-01-28,2023-01-29,341,341,1,0,0
30,2,L00002_1,18,2023-02-27,2023-02-27,675,675,0,0,0
31,3,L00003_1,1,2021-04-04,2021-04-04,316,316,0,0,0
32,3,L00003_1,2,2021-05-04,2021-05-13,402,402,9,0,0
33,3,L00003_1,3,2021-06-03,2021-06-04,398,398,1,0,0
34,3,L00003_1,4,2021-07-03,2021-07-05,189,189,2,0,0
35,3,L00003_1,5,2021-08-02,2021-08-08,326,326,6,0,0
36,3,L00003_1,6,2021-09-01,2021-09-04,425,425,3,0,0
37,3,L00003_1,7,2021-10-01,2021-10-01,451,451,0,0,0
38,3,L00003_1,8,2021-10-31,2021-11-06,410,410,6,0,0
39,3,L00003_1,9,2021-11-30,2021-12-15,576,576,15,0,0
40,3,L00003_1,10,2021-12-30,2021-12-30,355,355,0,0,0
41,3,L00003_1,11,2022-01-29,2022-02-04,446,446,6,0,0
42,3,L00003_1,12,2022-02-28,2022-03-13,102,102,13,0,0
43,3,L00003_1,13,2022-03-30,2022-03-30,341,341,0,0,0
44,3,L00003_1,14,2022-04-29,2022-04-29,677,677,0,0,0
45,3,L00003_1,15,2022-05-29,2022-05-29,104,104,0,0,0
46,3,L00003_1,16,2022-06-28,2022-07-25,875,875,27,1,0
47,3,L00003_1,17,2022-07-28,2022-07-31,398,398,3,0,0
48,3,L00003_1,18,2022-08-27,2022-08-27,515,515,0,0,0
49,3,L00003_2,1,2023-03-21,2023-03-27,339,339,6,0,0
50,3,L00003_2,2,2023-04-20,2023-05-09,675,675,19,1,0
51,3,L00003_2,3,2023-05-20,2023-06-03,867,867,14,0,0
52,3,L00003_2,4,2023-06-19,2023-06-19,856,856,0,0,0
53,3,L00003_2,5,2023-07-19,2023-07-19,600,600,0,0,0
54,3,L00003_2,6,2023-08-18,2023-08-24,509,509,6,0,0
55,3,L00003_2,7,2023-09-17,2023-09-30,495,495,13,0,0
56,3,L00003_2,8,2023-10-17,2023-10-20,247,247,3,0,0
57,3,L00003_2,9,2023-11-16,2023-12-03,459,459,17,1,0
58,3,L00003_2,10,2023-12-16,2024-01-18,713,713,33,1,0
59,3,L00003_2,11,2024-01-15,2024-01-15,886,886,0,0,0
60,3,L00003_2,12,2024-02-14,2024-02-14,868,868,0,0,0
61,3,L00003_2,13,2024-03-15,2024-03-15,266,266,0,0,0
62,3,L00003_2,14,2024-04-14,2024-05-02,200,200,18,1,0
63,3,L00003_2,15,2024-05-14,2024-05-14,440,440,0,0,0
64,3,L00003_2,16,2024-06-13,2024-06-13,290,290,0,0,0
65,3,L00003_2,17,2024-07-13,2024-07-13,378,378,0,0,0
66,3,L00003_2,18,2024-08-12,2024-08-18,362,362,6,0,0
67,4,L00004_1,1,2022-11-27,2022-12-04,231,231,7,0,0
68,4,L00004_1,2,2022-12-27,2023-01-04,306,306,8,0,0
69,4,L00004_1,3,2023-01-26,2023-01-26,116,116,0,0,0
70,4,L00004_1,4,2023-02-25,2023-02-25,764,764,0,0,0
71,4,L00004_1,5,2023-03-27,2023-03-27,454,454,0,0,0
72,4,L00004_1,6,2023-04-26,2023-04-26,324,324,0,0,0
73,4,L00004_1,7,2023-05-26,2023-06-07,372,372,12,0,0
74,4,L00004_1,8,2023-06-25,2023-06-25,507,507,0,0,0
75,4,L00004_1,9,2023-07-25,2023-08-05,455,455,11,0,0
76,4,L00004_1,10,2023-08-24,2023-08-24,204,204,0,0,0
77,4,L00004_1,11,2023-09-23,2023-09-23,200,200,0,0,0
78,4,L00004_1,12,2023-10-23,2023-11-03,491,491,11,0,0
79,4,L00004_1,13,2023-11-22,2023-11-30,597,597,8,0,0
80,4,L00004_1,14,2023-12-22,2023-12-22,173,173,0,0,0
81,4,L00004_1,15,2024-01-21,2024-01-21,780,780,0,0,0
82,4,L00004_1,16,2024-02-20,2024-03-08,487,487,17,1,0
83,4,L00004_1,17,2024-03-21,2024-03-21,142,142,0,0,0
84,4,L00004_1,18,2024-04-20,2024-04-20,138,138,0,0,0
85,4,L00004_1,19,2024-05-20,2024-05-21,724,724,1,0,0
86,4,L00004_1,20,2024-06-19,2024-06-24,458,458,5,0,0
87,4,L00004_1,21,2024-07-19,2024-07-19,496,496,0,0,0
88,4,L00004_1,22,2024-08-18,2024-08-31,588,588,13,0,0
89,4,L00004_1,23,2024-09-17,2024-09-28,198,198,11,0,0
90,4,L00004_1,24,2024-10-17,2024-10-17,576,576,0,0,0
91,4,L00004_1,25,2024-11-16,2024-11-29,142,142,13,0,0
92,4,L00004_1,26,2024-12-16,2025-01-09,531,531,24,1,0
93,4,L00004_1,27,2025-01-15,2025-01-19,416,416,4,0,0
94,4,L00004_1,28,2025-02-14,2025-02-14,451,451,0,0,0
95,4,L00004_1,29,2025-03-16,2025-03-16,209,209,0,0,0
96,4,L00004_1,30,2025-04-15,2025-04-15,508,508,0,0,0
97,4,L00004_1,31,2025-05-15,2025-05-15,317,317,0,0,0
98,4,L00004_1,32,2025-06-14,2025-06-20,715,715,6,0,0
99,4,L00004_1,33,2025-07-14,2025-07-30,274,274,16,1,0
100,4,L00004_1,34,2025-08-13,2025-09-05,755,755,23,1,0
101,4,L00004_1,35,2025-09-12,2025-09-21,504,504,9,0,0
102,4,L00004_1,36,2025-10-12,2025-10-12,405,405,0,0,0
103,4,L00004_2,1,2022-09-01,2022-09-01,858,858,0,0,0
104,4,L00004_2,2,2022-10-01,2022-10-03,335,335,2,0,0
105,4,L00004_2,3,2022-10-31,2022-11-12,327,327,12,0,0
106,4,L00004_2,4,2022-11-30,2022-11-30,482,482,0,0,0
107,4,L00004_2,5,2022-12-30,2022-12-30,452,452,0,0,0
108,4,L00004_2,6,2023-01-29,2023-01-29,606,606,0,0,0
109,4,L00004_2,7,2023-02-28,2023-03-06,427,427,6,0,0
110,4,L00004_2,8,2023-03-30,2023-04-07,407,407,8,0,0
111,4,L00004_2,9,2023-04-29,2023-04-29,798,798,0,0,0
112,4,L00004_2,10,2023-05-29,2023-05-29,538,538,0,0,0
113,4,L00004_2,11,2023-06-28,2023-07-07,775,775,9,0,0
114,4,L00004_2,12,2023-07-28,2023-07-28,711,711,0,0,0
115,4,L00004_2,13,2023-08-27,2023-08-31,825,825,4,0,0
116,4,L00004_2,14,2023-09-26,2023-09-28,439,439,2,0,0
117,4,L00004_2,15,2023-10-26,2023-11-14,666,666,19,1,0
118,4,L00004_2,16,2023-11-25,2023-11-28,419,419,3,0,0
119,4,L00004_2,17,2023-12-25,2024-01-05,258,258,11,0,0
120,4,L00004_2,18,2024-01-24,2024-01-24,808,808,0,0,0
121,4,L00004_2,19,2024-02-23,2024-03-03,466,466,9,0,0
122,4,L00004_2,20,2024-03-24,2024-03-27,263,263,3,0,0
123,4,L00004_2,21,2024-04-23,2024-05-06,799,799,13,0,0
124,4,L00004_2,22,2024-05-23,2024-05-23,731,731,0,0,0
125,4,L00004_2,23,2024-06-22,2024-06-22,762,762,0,0,0
126,4,L00004_2,24,2024-07-22,2024-07-22,211,211,0,0,0
127,5,L00005_1,1,2021-12-23,2021-12-31,875,875,8,0,0
128,5,L00005_1,2,2022-01-22,2022-02-02,668,668,11,0,0
129,5,L00005_1,3,2022-02-21,2022-02-21,262,262,0,0,0
130,5,L00005_1,4,2022-03-23,2022-04-15,148,148,23,1,0
131,5,L00005_1,5,2022-04-22,2022-04-30,699,699,8,0,0
132,5,L00005_1,6,2022-05-22,2022-05-30,329,329,8,0,0
133,5,L00005_1,7,2022-06-21,2022-06-21,809,809,0,0,0
